occurrence_no,lng,lat,mid_ma
459295,-2.033333,41.575001,44.55
459316,-111.494652,50.736988,77.05
459340,-111.511536,50.752384,77.05
459501,-111.480057,50.737049,77.05
459525,-111.458488,50.749004,77.05
459553,-111.510078,50.748341,77.05
459580,-111.502129,50.747658,77.05
459856,-104.002403,46.464298,68.3
459858,-104.002403,46.464298,68.3
459960,-104.002403,46.464298,68.3
459986,-104.002403,46.464298,69.05
459996,-1.85,41.291668,44.55
460018,-5.496667,41.229443,28.465
460022,-1.602778,41.194443,28.465
460437,-103.897903,46.3629,68.3
460439,-103.897903,46.3629,68.3
460453,-103.897903,46.3629,68.3
460454,-103.897903,46.3629,68.3
460463,-103.897903,46.3629,68.3
460470,-103.946098,45.93903,68.3
460492,-103.946098,45.93903,68.3
460497,-103.946098,45.93903,68.3
460748,0.73333,42.26667,68.3
460762,0.73333,42.26667,68.3
460763,0.73333,42.26667,68.3
460764,0.73333,42.26667,68.3
460765,0.73333,42.26667,68.3
460775,0.73333,42.26667,68.3
460776,0.73333,42.26667,68.3
460777,0.73333,42.26667,68.3
460783,0.73333,42.26667,68.3
460785,0.73333,42.26667,68.3
461725,-111.138977,50.068684,77.05
461726,-111.138977,50.068684,77.05
461771,-110.872475,49.127655,77.05
461772,-110.872475,49.127655,77.05
461834,-110.874527,49.12788,77.05
461835,-110.874527,49.12788,77.05
461873,-110.938988,49.098022,77.05
461874,-110.938988,49.098022,77.05
461910,-110.939667,49.100048,77.05
461911,-110.939667,49.100048,77.05
461946,-110.94104,49.101849,77.05
461947,-110.94104,49.101849,77.05
462062,68.6875,23.505501,44.55
462072,68.683334,23.652779,44.55
462085,10.55,48.470001,14.895
462113,11.116667,48.441666,14.895
462164,10.55,48.470001,14.895
462185,11.116667,48.441666,14.895
462538,-108.541077,44.645088,53.05
462539,-108.541077,44.645088,53.05
462570,-108.5298,44.643501,53.05
462612,-108.501572,44.625332,53.05
462625,-108.324791,44.604671,53.05
462639,-108.406761,44.589001,53.05
462788,-83.359169,32.905556,35.95
462901,-110.840065,49.081963,77.05
462902,-110.840065,49.081963,77.05
462931,-110.684402,49.075459,77.05
462932,-110.684402,49.075459,77.05
462968,-110.68364,49.077595,77.05
462969,-110.68364,49.077595,77.05
463009,-108.39299,44.530621,53.05
463016,-108.321129,44.533459,53.05
463052,-106.383301,49.366669,68.3
463325,12.76667,26.58333,97.2
463349,-3.2175,32.700558,145.5
463397,-112.911301,51.709999,74.75
463402,-112.911301,51.709999,74.75
463415,7.03399,52.261314,142.6
463723,51.431946,43.819443,25.565
463813,-110.722214,49.1591,77.05
463877,-110.848457,49.13797,77.05
463878,-110.848457,49.13797,77.05
463914,-110.719452,49.161789,77.05
463915,-110.719452,49.161789,77.05
463949,-110.700768,49.07629,77.05
463950,-110.700768,49.07629,77.05
464141,-104.637001,43.116329,68.3
